No,Year,ID,x,y,Binary Code,Binary Code2,Cen,Index,Outlier,Outlier.Log,Outlier.CLR,Outlier.95,D5outliers,g,gptile,gboolean,D5md.cla,D5md.rob,D5chi_rd,D5chi_md,eucliean,0.7outliers,0.7md.cla,0.7md.rob,0.7chi_rd,0.7chi_md,boolean_euc,boolean_clr,boolean_pc,RD_re,PC1_ILR5,PC2_ILR5,Cu0,As0,Pb0,Zn0,Ni0,Cd0,Cr0,Hg0,F0,Cu_DL,As_DL,Pb_DL,Zn_DL,Ni_DL,Cd_DL,Cu_log,As_log,Pb_log,Zn_log,Ni_log,Cd_log,Cu_MLE,As_MLE,Pb_MLE,Zn_MLE,Ni_MLE,Cd_MLE,Cu_ROS,As_ROS,Pb_ROS,Zn_ROS,Ni_ROS,Cd_ROS,Cu_ALR,As_ALR,Pb_ALR,Zn_ALR,Ni_ALR,Cd_ALR,Cu_ILR,As_ILR,Pb_ILR,Zn_ILR,Ni_ILR,Cd_ILR,z.1,z.2,z.3,z.4,z.5,Cu_CLR,As_CLR,Pb_CLR,Zn_CLR,Ni_CLR,Cd_CLR,ilr.Cu,ilr.As,ilr.Pb,ilr.Zn,ilr.Ni,ilr.Cd,Nigthlight,Altitude,LC7
661,2019,657,953134.1884,1659592.807,1,2,1,3,0,0,0,0,FALSE,5.254239783,0.293606138,-1,2.066206242,2.076889652,0.494778787,0.488657279,13.51554446,FALSE,2.066206242,2.067009078,0.489117611,0.488657279,-1,-1,-1,-2.076889652,-2.103451447,1.191489777,8.7,9.07,13,41.5,9.9,0,0,0,0,8.7,9.07,13,41.5,9.9,0.065,2.163323026,2.204972264,2.564949357,3.725693427,2.292534757,-2.733368009,8.7,9.07,13,41.5,9.9,0.097432907,8.7,9.07,13,41.5,9.9,0.019938109,8.7,9.07,13,41.5,9.9,0.051707054,8.7,9.07,13,41.5,9.9,0.049923629,-1.37475494,5.015397408,-0.820770003,0.018744008,-0.091366492,0.504287697,0.545936936,0.905914029,2.066658099,0.633499429,-4.65629619,0.552419495,0.598043949,0.992379098,2.263910519,0.693963855,-5.100716915,2,64,4
662,2019,658,952596.0897,1672246.179,2,2,1,3,0,0,0,0,FALSE,4.199828694,0.159079284,-1,0.841108233,0.874224068,0.020743742,0.017443425,13.55031526,FALSE,0.841108233,0.86687585,0.01997529,0.017443425,-1,-1,-1,-0.874224068,-0.584221136,-0.05185136,9.3,2.91,12.2,41.5,8.6,0,0,0.06,0,9.3,2.91,12.2,41.5,8.6,0.065,2.2300144,1.068153081,2.501435952,3.725693427,2.151762203,-2.733368009,9.3,2.91,12.2,41.5,8.6,0.078847449,9.3,2.91,12.2,41.5,8.6,0.066959979,9.3,2.91,12.2,41.5,8.6,0.048062861,9.3,2.91,12.2,41.5,8.6,0.046570097,-0.934724039,5.046243894,-0.865680763,0.916709469,0.055332659,0.794970663,-0.366890656,1.066392214,2.29064969,0.716718466,-4.501840377,0.870846729,-0.401908577,1.168174142,2.509281013,0.785125742,-4.931519049,9,54,2
663,2019,659,950762.306,1670730.399,2,2,1,3,0,0,0,0,FALSE,5.120875139,0.269565217,-1,1.243706196,1.281437808,0.103885981,0.092393863,13.00934873,FALSE,1.243706196,1.278062872,0.102824408,0.092393863,-1,-1,-1,-1.281437808,-1.412460107,0.061183415,13.7,4.45,13.5,40.4,10.8,0,0,0,0,13.7,4.45,13.5,40.4,10.8,0.065,2.617395833,1.492904096,2.602689685,3.698829785,2.379546134,-2.733368009,13.7,4.45,13.5,40.4,10.8,0.092901157,13.7,4.45,13.5,40.4,10.8,0.038197397,13.7,4.45,13.5,40.4,10.8,0.051466265,13.7,4.45,13.5,40.4,10.8,0.050216409,-1.29812343,5.015063391,-0.775088098,0.821041925,0.168185135,0.984070483,-0.140421254,0.969364335,2.065504435,0.746220784,-4.624738783,1.077995203,-0.153823777,1.061885426,2.262646743,0.817443913,-5.066147508,7,52,2
664,2019,660,947815.6171,1617391.928,1,1,1,3,0,0,0,0,FALSE,7.968129435,0.611764706,1,1.614325302,1.809856249,0.342417548,0.239553588,13.97808883,FALSE,1.614325302,1.754730983,0.312204781,0.239553588,1,-1,-1,-1.809856249,-0.401131052,-0.842695178,15.9,4.48,24.7,101.3,23.1,0,0,0.09,0,15.9,4.48,24.7,101.3,23.1,0.065,2.766319109,1.499623046,3.206803244,4.618086411,3.139832618,-2.733368009,15.9,4.48,24.7,101.3,23.1,0.070120638,15.9,4.48,24.7,101.3,23.1,0.060927554,15.9,4.48,24.7,101.3,23.1,0.063957813,15.9,4.48,24.7,101.3,23.1,0.062164832,-0.962996872,5.462697436,-0.997927898,1.186739256,-0.264113935,0.690869345,-0.575826718,1.131353479,2.542636647,1.064382853,-4.853415606,0.756809449,-0.630786565,1.239335642,2.785318894,1.165972997,-5.316650416,1,86,3
665,2019,661,944593.6869,1636872.652,1,1,1,3,0,0,0,0,FALSE,4.058669301,0.145780051,-1,1.2532815,1.384071347,0.139311415,0.095232057,13.81787762,FALSE,1.2532815,1.365346088,0.132397652,0.095232057,1,-1,-1,-1.384071347,-0.682984779,-0.21494516,8.1,2.7,12.2,37.6,10.1,0,0.5,0,0,8.1,2.7,12.2,37.6,10.1,0.065,2.091864062,0.993251773,2.501435952,3.62700405,2.312535424,-2.733368009,8.1,2.7,12.2,37.6,10.1,0.029694466,8.1,2.7,12.2,37.6,10.1,0.028882752,8.1,2.7,12.2,37.6,10.1,0.045701112,8.1,2.7,12.2,37.6,10.1,0.044114785,-0.975783449,5.050178562,-0.795896835,0.987101884,-0.156038217,0.6910089,-0.407603388,1.10058079,2.226148889,0.911680262,-4.521815453,0.756962324,-0.446507141,1.20562585,2.438623926,0.99869569,-4.953400649,2,76,4
666,2019,662,942280.8291,1631925.274,1,1,1,3,0,0,0,0,FALSE,3.63842498,0.105882353,-1,1.996381109,2.16439343,0.544429238,0.448499925,13.97937359,FALSE,1.996381109,2.123482854,0.521343798,0.448499925,1,-1,1,2.16439343,0.084404193,-2.148732909,10.7,0,8.6,43.1,13.4,0,0.6,0,0,10.7,0.975,8.6,43.1,13.4,0.065,2.370243741,-0.025317808,2.151762203,3.763522997,2.595254707,-2.733368009,10.7,0.945535596,8.6,43.1,13.4,0.039217608,10.7,1.10281214,8.6,43.1,13.4,0.045676792,10.7,1.077815374,8.6,43.1,13.4,0.041845596,10.7,1.077071258,8.6,43.1,13.4,0.040529553,-0.951293093,5.032367648,-1.139686987,1.966535007,-0.15910678,1.078692851,-1.217305331,0.860211313,2.471972107,1.303703817,-4.497274757,1.181648815,-1.333491178,0.942314281,2.707909769,1.428135978,-4.926517664,2,69,3
667,2019,663,945697.7436,1632286.486,1,2,1,3,0,0,0,0,FALSE,2.428192006,0.031202046,-1,2.474786993,3.024847312,0.896759995,0.705714285,15.40640024,FALSE,2.474786993,2.878148799,0.858724112,0.705714285,1,-1,1,3.024847312,2.860445467,0.506867441,2.9,0,11.5,65,2.4,0,0.5,0,0,2.9,0.975,11.5,65,2.4,0.065,1.064710737,-0.025317808,2.442347035,4.17438727,0.875468737,-2.733368009,2.9,1.331408883,11.5,65,2.4,0.086334023,2.9,0.939530921,11.5,65,2.4,0.013471724,2.9,0.918131171,11.5,65,2.4,0.045381413,2.9,0.916229688,11.5,65,2.4,0.043000485,0.660341259,5.270412792,-1.224737395,0.863508765,0.133814301,0.177563787,-0.974635145,1.555200085,3.28724032,-0.011678213,-4.033690834,0.194511383,-1.067659308,1.703636336,3.60099135,-0.012792841,-4.41868692,8,27,1
668,2019,664,944296.0158,1630658.913,1,2,1,3,0,0,0,0,FALSE,3.920148239,0.136061381,-1,2.423900712,2.815430817,0.839675349,0.681456932,12.5117553,FALSE,2.423900712,2.758229241,0.820785429,0.681456932,-1,-1,1,2.815430817,0.927326174,-1.416863251,23.8,0,10,54.1,5.2,0,0,0,0,23.8,0.975,10,54.1,5.2,0.065,3.169685581,-0.025317808,2.302585093,3.990834186,1.648658626,-2.733368009,23.8,1.36068938,10,54.1,5.2,0.084188606,23.8,0.986821715,10,54.1,5.2,0.056450786,23.8,1.062680449,10,54.1,5.2,0.05147897,23.8,1.062779082,10,54.1,5.2,0.051002842,-0.637555682,4.999068545,-1.193772382,1.917366551,1.075528474,1.803556111,-1.305242217,0.936455624,2.624704717,0.282529156,-4.342003392,1.975696732,-1.42982121,1.025835738,2.87521996,0.309495184,-4.756426405,6,42,1
669,2019,665,946397.0709,1631779.334,1,2,1,3,0,0,0,0,FALSE,5.412861194,0.314066496,-1,1.678874666,1.907683611,0.397571131,0.272075293,13.79485762,FALSE,1.678874666,1.853336638,0.366733256,0.272075293,1,-1,-1,-1.907683611,-0.185918694,1.303178046,8.9,4.97,25.1,55.3,7.2,0,0.7,0,186,8.9,4.97,25.1,55.3,7.2,0.065,2.186051277,1.60341984,3.222867846,4.012772909,1.974081026,-2.733368009,8.9,4.97,25.1,55.3,7.2,0.072983718,8.9,4.97,25.1,55.3,7.2,0.076933178,8.9,4.97,25.1,55.3,7.2,0.058609129,8.9,4.97,25.1,55.3,7.2,0.056896244,-0.56927666,5.294446606,-0.558547226,0.389180083,0.149885602,0.497273452,-0.085357984,1.534090022,2.323995084,0.285303202,-4.555303775,0.544735774,-0.093504987,1.68051142,2.545809062,0.312533998,-4.990085268,9,41,4
670,2019,666,946537.67,1611730.945,1,2,1,3,0,0,0,0,FALSE,3.381260825,0.086956522,-1,2.553163117,3.046781155,0.901700622,0.741030463,15.34328638,FALSE,2.553163117,2.926021946,0.872119366,0.741030463,1,-1,1,3.046781155,1.134913097,-1.37990199,4.6,0,11.5,56.4,11.4,0,0,0,0,4.6,0.975,11.5,56.4,11.4,0.065,1.526056303,-0.025317808,2.442347035,4.032469159,2.433613355,-2.733368009,4.6,1.072992626,11.5,56.4,11.4,0.058941561,4.6,1.005417957,11.5,56.4,11.4,0.02072559,4.6,1.068014058,11.5,56.4,11.4,0.043547916,4.6,1.066623659,11.5,56.4,11.4,0.041192789,-0.301631689,5.247542006,-1.124386136,1.563865809,-0.641739746,0.307807638,-1.153750465,1.22409837,2.814220493,1.21536469,-4.407740727,0.337186374,-1.26387031,1.34093258,3.082824092,1.331365313,-4.828438048,2,2,2
671,2019,667,947003.3275,1633403.257,2,2,1,3,0,0,0,0,FALSE,4.552766106,0.199488491,-1,2.289831455,2.587677647,0.755757653,0.613088389,13.58598931,FALSE,2.289831455,2.494393501,0.714787081,0.613088389,-1,-1,1,2.587677647,1.190230985,-1.164529253,15.7,0,19,56.4,8.6,0,0.5,0,0,15.7,0.975,19,56.4,8.6,0.065,2.753660712,-0.025317808,2.944438979,4.032469159,2.151762203,-2.733368009,15.7,1.445031588,19,56.4,8.6,0.078621376,15.7,1.058822036,19,56.4,8.6,0.079321473,15.7,1.150639736,19,56.4,8.6,0.054588293,15.7,1.150670256,19,56.4,8.6,0.053489722,-0.407074633,5.239229797,-0.769353518,1.88803963,0.425606517,1.237925729,-1.37539038,1.428703996,2.516734175,0.63602722,-4.444000739,1.356079692,-1.506664673,1.565066813,2.756944158,0.696732911,-4.868158901,7,42,2
672,2019,668,928724.2636,1642620.773,1,1,1,3,0,0,0,0,FALSE,4.744752498,0.216879795,-1,1.409548443,1.602108454,0.233589688,0.149035219,14.09841891,FALSE,1.409548443,1.564640621,0.215709822,0.149035219,1,-1,-1,-1.602108454,-0.548570634,-0.524012236,8.6,2.96,13.6,51,13.4,0,0,0,0,8.6,2.96,13.6,51,13.4,0.065,2.151762203,1.085189268,2.610069793,3.931825633,2.595254707,-2.733368009,8.6,2.96,13.6,51,13.4,0.090443821,8.6,2.96,13.6,51,13.4,0.031733799,8.6,2.96,13.6,51,13.4,0.050106577,8.6,2.96,13.6,51,13.4,0.048225566,-0.948024683,5.146225833,-0.934622518,1.051908211,-0.313596557,0.594722933,-0.471850002,1.053030523,2.374786363,1.038215437,-4.588905254,0.651486332,-0.516885779,1.153537142,2.60144812,1.137308029,-5.026893843,3,73,3
673,2019,669,915403.2508,1651569.776,1,1,1,3,0,0,0,0,FALSE,3.848497173,0.126342711,-1,2.668448945,3.072517322,0.907262931,0.788176878,14.00260641,FALSE,2.668448945,3.002509441,0.891535146,0.788176878,1,-1,-1,-3.072517322,-0.581278245,1.073646006,6.3,2.98,21.2,24.7,7.5,0,0,0,0,6.3,2.98,21.2,24.7,7.5,0.065,1.840549633,1.091923301,3.054001182,3.206803244,2.014903021,-2.733368009,6.3,2.98,21.2,24.7,7.5,0.070063973,6.3,2.98,21.2,24.7,7.5,0.043934762,6.3,2.98,21.2,24.7,7.5,0.045503781,6.3,2.98,21.2,24.7,7.5,0.04406524,-0.738380534,5.105133628,-0.108047374,0.682430313,-0.123286462,0.492866906,-0.255759427,1.706318454,1.859120516,0.667220293,-4.469766743,0.539908645,-0.280170415,1.869178215,2.036564488,0.730903211,-4.896384144,2,14,3
674,2019,670,923269.939,1646205.28,1,1,1,3,0,0,0,0,FALSE,2.49181011,0.033248082,-1,1.605927235,1.902120848,0.394396838,0.235447011,14.61087312,FALSE,1.605927235,1.815098213,0.34532865,0.235447011,1,-1,1,1.902120848,1.686412991,-0.673752489,4.6,0,7.2,53.5,3.9,0,0,0,0,4.6,0.975,7.2,53.5,3.9,0.065,1.526056303,-0.025317808,1.974081026,3.979681654,1.360976553,-2.733368009,4.6,0.612995383,7.2,53.5,3.9,0.080986908,4.6,0.75888304,7.2,53.5,3.9,0.091152438,4.6,0.904347669,7.2,53.5,3.9,0.040255852,4.6,0.902328785,7.2,53.5,3.9,0.038389825,-0.036928788,5.092361939,-1.418173804,1.262542741,0.116729011,0.613046905,-1.015785717,1.061071628,3.066672256,0.447967155,-4.172972227,0.671559238,-1.112737501,1.162345731,3.359371142,0.490723432,-4.571262041,2,23,4
675,2019,671,923958.1787,1640208.72,1,1,1,3,0,0,0,0,FALSE,5.203402818,0.285933504,-1,2.416149042,2.861939844,0.853965764,0.677674554,14.44552677,FALSE,2.416149042,2.725816165,0.809431061,0.677674554,1,-1,1,2.861939844,2.115466243,0.212197656,9.8,1.76,32.8,92.5,6.2,0,0,0.05,0,9.8,1.76,32.8,92.5,6.2,0.065,2.282382386,0.565313809,3.490428515,4.527208645,1.824549292,-2.733368009,9.8,1.76,32.8,92.5,6.2,0.032033112,9.8,1.76,32.8,92.5,6.2,0.030587591,9.8,1.76,32.8,92.5,6.2,0.062865863,9.8,1.76,32.8,92.5,6.2,0.061175662,0.22510232,5.554482886,-0.73311426,1.215071044,0.323736885,0.633069586,-1.083998991,1.841115716,2.877895845,0.175236492,-4.443318648,0.693492985,-1.187461399,2.016841217,3.152576945,0.191961959,-4.867411707,1,179,3
